,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
392826,392827,B003VXL0V6,A3GFZIL1E0Z5V8,bloomen1,0,0,5,1970-01-01 00:00:01.351209600,Rodeo Drive is Crazy Good Coffee!,Rodeo Drive is my absolute favorite and I'm ready to order more!  That's if I can find it.<br />I don't know why they are discontinuing it.<br />It arrived very fast.
402584,402585,B000EML7DS,A2DFSA2JXQKVY3,C-Rush,0,0,4,1970-01-01 00:00:01.351209600,Not bad.,"These are small and very salty. The taste is good, but very strong, so it's a good thing the package contains a small amount. It only takes a few little crisps to cure my salty/crunchy craving. I can snack on one package for an entire day. Of course these would not be a good snack if you're very hungry, because there isn't enough there to fill you up. For less than $1 per pack it's an okay deal."
434338,434339,B003Z6ZGZU,A15FF2P7RPKH6G,"Jackquiline D. Jolliffe ""Jackie jolliffe""",0,0,5,1970-01-01 00:00:01.351209600,got this for the daughter,all i have heard since she got a kuerig is why doesn't every one keep pumpkin spice Coffee in the holders. so this is what she got from me and what she gets for Christmas.
452167,452168,B000FIWIWA,A1TED4G0PWZPQV,Stellavera S. Kilcher,0,0,5,1970-01-01 00:00:01.351209600,You have to have these!,"Made with xylitol, and this kills bacteria in your mouth all day and night if you take these mints. Los fights candida,"
94095,94096,B0002DGRPC,A3SSEJ8IEM4YGW,Seagaul,0,0,5,1970-01-01 00:00:01.351209600,Dogs love it.,"This is the ""all gone"" treat after dinner.  It's the only treat that the dogs work for; and I did run the chance of losing a hand.  They know a new command now:  ""be gentle"" when taking liver treats."
94096,94097,B0002DGRPC,AUINI96NMGXUI,Kkrys23,0,0,5,1970-01-01 00:00:01.351209600,Love this faucet,Love this faucet.  My husband had installed the same one in our old house so when our current faucet was leaking I told him not to fix it and we would buy the same one.  It was easy enough for him to install but he did need my assistance a few times to help hold some things in place. Looks great and works great.
114487,114488,B0064KO16O,A1K2SU61D7G41X,ken,0,0,5,1970-01-01 00:00:01.351209600,very good!!,"just like the runts<br />great flavor, def worth getting<br />I even ordered again 2 wks latter (all gone)<br />just like I remember :)"
275060,275061,B001SB34RG,A2NM2R0EH3K6C1,GramaM,0,0,5,1970-01-01 00:00:01.351209600,won't kid you,I won't kid you there is nothing better than a real hot dog.  I love hot dogs but because of health reasons my husband &I had to cut back.  We tried linketts and found they are an excellant substitute.  Now we can have hot dogsdogs any time we want& during foot ball season that is all the time. Kraut dogs you can't tell the difference between linketts & the real thing. I 'am happy & so is my stomache.  GramaM<br />P.S. You can freeze them & take out as needed.
535730,535731,B003VXHGDM,A3GFZIL1E0Z5V8,bloomen1,0,0,5,1970-01-01 00:00:01.351209600,Rodeo Drive is Crazy Good Coffee!,Rodeo Drive is my absolute favorite and I'm ready to order more!  That's if I can find it.<br />I don't know why they are discontinuing it.<br />It arrived very fast.
510927,510928,B004FGWU9O,A3GFZIL1E0Z5V8,bloomen1,0,0,5,1970-01-01 00:00:01.351209600,Rodeo Drive is Crazy Good Coffee!,Rodeo Drive is my absolute favorite and I'm ready to order more!  That's if I can find it.<br />I don't know why they are discontinuing it.<br />It arrived very fast.
464364,464365,B000UBD88A,AWRFQYLG7LQKJ,"Rocdoc ""Roc""",0,0,2,1970-01-01 00:00:01.351209600,Not very strong,Not as strong as the regular dark coffee.  Disappointing after having Sumatra at Starbucks. Wouldn't get it again.  It just didn't taste like the real deal.
17511,17512,B0045Z6K50,A3HM6TNYB7FNDL,C. Furman,0,0,4,1970-01-01 00:00:01.351209600,Full- bodied without a bitter after-taste,This is my everyday coffee choice...a good all around crowd pleaser.  Green mountain Sumatra would be my back-up-for-a-change-of-pace second choice...nice to have both on hand!
429453,429454,B004IMYBIS,A33V118ZVFLGVK,"Wings42 ""David""",0,0,4,1970-01-01 00:00:01.351209600,Delicious but not for everybody,"Pros:<br />- Wholesome ingredients<br />- Easy to mix and make<br />- Flavorful and hearty<br />- My wife and I like the waffles and pancakes made from this mix.<br /><br />Cons:<br />- Grainy and gritty. We like this, but it's definitely an acquired taste.<br />- Separates if too much liquid is added so you can't make thin hotcakes or crispy light waffles with this mix.<br />- The boxes are tiny, a lot of product goes a little way. We get two breakfasts plus a few to freeze per box."
143110,143111,B000SDO5YQ,A5R3XOLGJG1P5,Amanda,0,0,5,1970-01-01 00:00:01.351209600,Wonderful taste!,"Very pleased with the quality of the espresso.  The pods are sturdy enough to withstand the pressure of the water in brewing - no messy grounds from broken pods to threaten the functioning of the machine.  The crema is awesome, taste is smooth."
402155,402156,B0006349WQ,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1970-01-01 00:00:01.351209600,Good Training Treat,My dog will come in from outside when I am training her and look at the cupboard waiting for her treat. When I use the clicker training method she comes because she knows she has something special.
295146,295147,B003OFNR6M,A27LEUWQ49OTWX,Kotek,0,0,2,1970-01-01 00:00:01.351209600,"Poor germination rate, poor growth","I have tried to grow these in little starter plugs and I sowed directly onto a soil.  Both times germination rate was very poor.  Transplants died.  Direct sowing was a bit better but those geraniums were growing very measly.  I planted them in very good soil (I test all my soil annually) all other things grown in that soil were great!  I would give it 1 star, but give it a benefit of a doubt as I might have not know how to properly grow these geraniums."
434408,434409,B003ZFUYPI,ARCGKF8PS7JBI,suzy,0,0,5,1970-01-01 00:00:01.351209600,ultrax3,"Pleased with product. Cornstarch and Wondra for thickening left lots of lumps in gravy which took alot of time to blend out with my emulsion blender. Ultratex as thickening agent made for a nice silky gravy. Whatever you are trying to thicken, best result was when liquid was cooled off or cold."
470582,470583,B001LUM1ZU,A3HJN5HU71FQIT,muxicboxsuprhero,0,0,1,1970-01-01 00:00:01.351209600,God Awful,"As a dabbler who enjoys spanning the entire spectrum of taste, I am more than willing to try anything once.  Both as a food aficionado and a lover of bacon, I just had to pick this up.  One taste caused me to throw out my sandwich, and subsequently throw out the entire jar of unused mayonnaise.<br /><br />I would give this less than 1 star, if I could.<br /><br />Steer clear from this unless you're a major tool who has no sensibility past buying bacon-everything."
497427,497428,B0015A2W32,A1SEHFQQ30AR0E,jmble,0,0,5,1970-01-01 00:00:01.351209600,Perfect,"I was a little worried when I saw the reviews about them arriving melty but there were enough good reviews that I took a shot.  They arrived perfectly and within 24 hours of ordering them using two days shipping.  If you really want Andes Mints, and like me, you can't find them at any of the local stores around you, then take a shot.  As for the product itself, if you're searching for andes mints on Amazon, you are probably already aware of how great they are.  Definitely five stars for me for both the products and the shipping."
402200,402201,B0006349WG,A21BT40VZCCYT4,Carol A. Reed,0,0,5,1970-01-01 00:00:01.351209600,Good Training Treat,My dog will come in from outside when I am training her and look at the cupboard waiting for her treat. When I use the clicker training method she comes because she knows she has something special.
110467,110468,B00438XVGU,A2GW6JUVTALDPV,DL,0,0,1,1970-01-01 00:00:01.351209600,I did not receive my order,"I placed my order through Amazon and after about 10 days inquired about my order because it had not shipped.  I received an email back from Starbucks that my order had been canceled. No explanation at all, just that it had been canceled. I checked back on Amazon and see that this item is still available but they had raised the price.<br /><br />So instead of honoring the price they just blew me off like the sale never happened.  Shame on Amazon for allowing a seller to do this.<br /><br />Bottom line, Amazon has gone down a few points in my eyes.  Greedy Starbucks can keep their coffee."
368689,368690,B005K4Q1W2,A2TZKSY1ZWPOU9,wejani,0,0,5,1970-01-01 00:00:01.351209600,Great Hot Cider!!!,It is hard to find much of anything sugarfree that really tastes good but this apple cider is the best.  I also love the regular hot apple cider in sugarfree form.
275236,275237,B000CQID7E,A26DOVGY14V7NX,Richard Rollins,0,0,5,1970-01-01 00:00:01.351209600,breakfast tea,We switch to this decaf tea at night for a great cup of tea and no sleep problems. Thanks for a good cup of tea.
295077,295078,B004WZ4KK0,A19SKPB9MCXGGH,eugeniahoward,0,0,5,1970-01-01 00:00:01.351209600,The best Tassimo coffee,"I love all the coffees I have tried, but the Gevalia Dark Italian Roast is the best by far.  I would recommend it to serious coffee drinkers."
349757,349758,B0051WBSPI,A1IK1XYGTNVLOW,James L. Dusing,0,0,5,1970-01-01 00:00:01.351209600,Great service,Not only is the popcorn terrific and as advertised (hull less) but the order arrived early thanks to their fast and efficient service. Yep! We will do much business with them over the coming years.
210992,210993,B001EO5Y52,AO4IX8RD1ZP8M,C. BINNING,0,0,5,1970-01-01 00:00:01.351209600,Very very good coffee,"<a href=""http://www.amazon.com/gp/product/B006N3I3Q6"">Green Mountain Coffee Fair Trade Organic Sumatran Reserve, K-Cup Portion Pack for Keurig Brewers</a> This is a real treat for a coffee snob! Not only is this a great coffee overall, but even compared to other Sumatran coffees and Sumatran blends this one can hold it's own against most other roasters. I enjoy it better than both the Sumatran offerings from Starbucks. I would say it is right on par with the caribou Sumatran product. only ones that I have enjoyed even a little more were products from  Cats Ass Coffee harvested from animal droppings (Kopi luwak)at over $150 a pound 0.o and the Sumatran offered by S&D... But the S&D product is hard to find or discontinued/seasonal. I would tell friends and Coffee people all over to try this! (And yes, I grew up in Portland and Seattle so I just may know better than you)  :P  LoL<br /><br />Enjoy!"
126987,126988,B0063HMIRW,A1PTXZ2H80JWZ6,AkashaL,0,0,5,1970-01-01 00:00:01.351209600,BEST,Okay so I work at a Family Dollar in St. Louis && we just got these in. Well for awhile I had been looking for the Snickers for my mom (just because) && now it's at my job for 10$ along with the Reese's. ! It's so freaking good && you can't go wrong with it what so ever . !
510774,510775,B000PILF24,AMPYE406UY34Y,Chunky Drummer,0,0,5,1970-01-01 00:00:01.351209600,Love It,"First let me say I'm new to drinking tea. So you're not getting a well rounded expert opinion. I started drinking lipton green tea at work and loved it. Small caffeine boost, great flavor, no calories, etc. Read about white teas online so I gave this a try. The price is incredible. The tea reminds me of a tea I drank at a Chinese restaurant when I was young. Brings back good childhood memories, love the flavor. WILL BUY AGAIN."
206553,206554,B003HFA3XY,A1PLO6OW6O2Z1,"Debra Sandifer ""lldcs""",0,0,1,1970-01-01 00:00:01.351209600,Not very tasty!,I love Arnold Plamer's and Starbucks has the best black tea & lemonade.  I was hooked on them all summer.  When I saw a bottled version of this beverage I was so excited.  Unfortunately this is not a tasty product at all.  I drank 1/2 bottle and had to dispose of the rest of it.  Not good at all.  Very disappointed!
127050,127051,B000EIE20M,A39QHSDUBR8L0T,halfabusa,0,0,3,1970-01-01 00:00:01.351209600,Just ok,I bought this brand because it was all they had at Ranch 99 near us. I find it spicy (hot) but not enough flavor. I would have rather bought Maesri Thai Green Curry Paste. It is much much more flavorful and spicy.
368401,368402,B007689U8W,A3FW29GQ2BNLHI,M. Spalding,0,0,5,1970-01-01 00:00:01.351209600,Outstanding!,Fantastic flavor! The dark chocolate is creamy and rich but not bitter or overpowering like some dark chocolates can be. Perfectly balanced raspberry/chocolate flavor.
31793,31794,B0049D7HRS,A3LR9HCV3D96I3,Gypsy Healer,0,0,5,1970-01-01 00:00:01.351209600,Delicious,Individually packaged assorted rice crackers are really good.  I could without all the packaging.  Really great price for a high quality mix of rice crackers with some wasabi peas included.  I mixed with salted peanuts for a delicious snack.
552161,552162,B008PYVINQ,A1DRWYIO7JN1MD,Charles h,0,0,2,1970-01-01 00:00:01.351209600,bot very cheesy,Got this about a month ago.first of all it smells horrible...it tastes very peppery and not very cheesy. If you are going for the stuff at the movie theater this is not it
124173,124174,B0084MBGNQ,A3F526Y77Y64KT,"D. Greenwood ""dg""",0,0,5,1970-01-01 00:00:01.351209600,Great Outdoor Dog Treat,I have two Weims that have a strong need to chew. These bones serve that need very well.  Be sure to keep the bones in an area where you don't have to worry about stains as they are greasy.
419318,419319,B0002DGRQ6,AUINI96NMGXUI,Kkrys23,0,0,5,1970-01-01 00:00:01.351209600,Love this faucet,Love this faucet.  My husband had installed the same one in our old house so when our current faucet was leaking I told him not to fix it and we would buy the same one.  It was easy enough for him to install but he did need my assistance a few times to help hold some things in place. Looks great and works great.
115108,115109,B000F4F95M,A2ET4NNICR9T7R,C. George,0,0,2,1970-01-01 00:00:01.351209600,Didn't like it,"Quite personally, I didn't like it.  For me, it had no flavour at all.  It only tasted better when I added some nutmeg (ran out of cinnamon) and milk.  On the brightside, it did help me get rid of my cold :')"
422948,422949,B005Y10XZ2,A235UFZGCFN3J5,Eva,0,0,5,1970-01-01 00:00:01.351209600,Rich cocoa taste and satisfying...,"I like the convenience of protein bars for an on-the-go snack that fits in a purse or bag. I've been in search of a bar like this for a while because most other protein bars I've tried either aren't satisfying or have as many calories and fat as a big candy bar. These South Beach bars have a very rich cocoa flavor that chocolate lovers will appreciate. They're only 130 calories but still have a good amount of protein to keep hunger at bay between meals. They're also much lower in sugar than similar bars in this category but it doesn't affect the taste. They are just the right balance of low calorie, great taste and still very satisfying. I have already ordered my second box of these."
546771,546772,B001P3PR5Y,A3QSIS4LFYP2LW,Mary L.,0,0,5,1970-01-01 00:00:01.351209600,these do the job,"I bought the CET Veggiedent chews for one of my dogs who didn't do well with the regular CET chews. He would just swallow big chunks and that was potentially dangerous. He likes these just as much and spends more time actually chewing, which is great for his teeth and I don't have to worry about large pieces of rawhide becoming obstructions."
440835,440836,B004GN8NP6,A1GENHMJBIS42V,TechLover70,0,0,5,1970-01-01 00:00:01.351209600,Boring name but great coffee,"Aside from a non-flashy name, this is a great coffee.  Very smooth, perfect!  If is my favorite at this point, even over other flavored coffee."
511412,511413,B001A5VLYS,AMPYE406UY34Y,Chunky Drummer,0,0,5,1970-01-01 00:00:01.351209600,Love It,"First let me say I'm new to drinking tea. So you're not getting a well rounded expert opinion. I started drinking lipton green tea at work and loved it. Small caffeine boost, great flavor, no calories, etc. Read about white teas online so I gave this a try. The price is incredible. The tea reminds me of a tea I drank at a Chinese restaurant when I was young. Brings back good childhood memories, love the flavor. WILL BUY AGAIN."
422949,422950,B005Y10XZ2,AK7CAW3N1XZV6,"Beth Cholette ""doctor_beth""",0,0,4,1970-01-01 00:00:01.351209600,Surprisingly good!,"I was a little hesitant to try these bars, as I usually don't like chocolate for breakfast (I prefer fruit-flavored things in the morning).  However, what I DID like about these bars was the ""Protein Fit"" label; if I am going to grab a bar for breakfast, I want it to be high in protein rather than some sugary cereal bar.  These South Beach Protein Fit Bars have 9 grams protein (I usually look for 8 or more), 8 grams sugar (about 1 1/2 teaspoons--very reasonable), and 3.5 grams fat, with 2 of those being saturated (I don't worry overly about fat myself, but others might find the saturated fat content a bit on the high side).  The bars also contain a good dose of additional nutrition, with 3grams of fiber, 15% of the daily calcium requirement, and various other vitamins and minerals.<br /><br />I was pleasantly surprised by the flavor of these bars as well.  Unlike many other chocolate products of this type, the chocolate tastes natural rather than artificial.  In additional, the bars have a very nice texture:  they are like a flaky, moist cereal bar.  Personally, I could have done without the extra drizzle of chocolate on top, but I think that chocolate lovers will truly love these bars.  I would definitely recommend the Chocolate Protein Fit bar to others; I plan to check out the <a href=""http://www.amazon.com/gp/product/B005Y10YY2"">South Beach Protein Fit Cinnamon Raisin</a> flavor for myself."
526430,526431,B005H7WARC,A2L3AP3898XNDI,Doberman,0,0,5,1970-01-01 00:00:01.351209600,Great stuff,A co-worker recommended that I try Coconut Oil to make my hair softer and less dry. After a little resource of my own I purchased some. It was the miracle hair product I needed. It has been 2 months and my hair has grown soo much. Its healthier and softer than it has ever been.
566797,566798,B001PQTYN2,A3OTHWG8LLCLMU,"PACKERS FAN ""Gordon Boone""",1,1,5,1970-01-01 00:00:01.351209600,Great,"If you like a great , hot, sauce then buy this. If spicy with heat isn't to your liking then don't buy it."
539129,539130,B002RBRY0Y,A11LYF3HM1QQK7,Curtis,0,0,3,1970-01-01 00:00:01.351209600,very delicious,"This is my very favorite of the truffles. It is a medium dark and very delicious. If I have one, it screams at me to have just one more! As long as they are made, I will be first in line to purchase."
470963,470964,B004VLVFFI,A2HIF50JQB4G2W,A. G. Malone,0,0,5,1970-01-01 00:00:01.351209600,Great product!,"Made a batch of sourdough rye and it got rave reviews.  Currently have a light and a dark rye starter, making marble rye this afternoon!"
504113,504114,B001M0AKE8,A07112861KSNE1D0ZA1NO,Canon Fan,0,0,4,1970-01-01 00:00:01.351209600,Quaker Instant Oatmeal Dinosaur Eggs,"This has been a firm favorite at breakfast time in our house for many years. When you can pick it up at this low price for a 4 pack, it seems to taste even better."
286551,286552,B0051WBSWG,A1IK1XYGTNVLOW,James L. Dusing,0,0,5,1970-01-01 00:00:01.351209600,Great service,Not only is the popcorn terrific and as advertised (hull less) but the order arrived early thanks to their fast and efficient service. Yep! We will do much business with them over the coming years.
526362,526363,B007KPFSJ6,A506HOOCVL8GW,"J. Kurz ""J. Q. Public""",0,0,5,1970-01-01 00:00:01.351209600,BEST cup of coffee I've ever had!,"I thought I'd splurge and try this coffee.  It costs much more than other decaf K-Cup options.  But I hoped that meant it was better coffee.  It IS better coffee.  I've never had a better cup of coffee than this.  It is excellent when compared to any other decaf or regular coffee I've tried.<br /><br />If you like BOLD, FLAVORFUL decaf coffee try this coffee and you'll really like it."
59850,59851,B001EQ5KTK,A3GS4GWPIBV0NT,"R. Chester ""ricki1966""",0,0,5,1970-01-01 00:00:01.351209600,Love this tea,This is a favorite of mine for using over ice. Even bought it to give out as Christmas gifts last year.
557311,557312,B003P9XFW8,A1XZU3UA1LDHUM,"Kristol King ""k2ing1""",0,0,5,1970-01-01 00:00:01.351209600,Excellent Dog Food,My dog loves it and she absorbes it well.  Her breath is fresh and her teeth are staying clean.  I free feed her and her weight gain is on schedule.
540362,540363,B0029NU416,A1HKHIP6VCMALP,Over 50,0,0,3,1970-01-01 00:00:01.351209600,Our dogs love it but finding low price and 12 oz cans is tough,"When Amazon LLC was selling large cans it was affordable via super saving shipping.  You expect a price reduction when buying large size cans.  One quarter of these cans was only partially filled with chunks, having an inch of fluid before touching the meat product.  I shake each of these large cans before opening one.  We prefer the smaller cans of this product, but local chains do not carry it in either size, and Amazon only offers it in large.  Our dogs love the pedigree brand pouches and cans, especially the beef and liver.  Although, they use corn product (one reviewer noted) and my veterinarian espouses ""...it's mostly water,"" our dogs vote is positive.  We treat our pets and give this to them because they like it...not for their health.<br /><br />After finding the substantial price increase this morning, I found the small cans at PetCo.  Perhaps, Amazon will get a small can supplier for the ""beef and liver"" chunks in the future."
210808,210809,B004WZ4EW4,A2IQ7EI0PHDE8J,Happiness by Good Music,0,0,2,1970-01-01 00:00:01.351209600,Tasty but not truly raw,"These taste great and it's nice to see they've come out with some naked seaweed without anything added.  However...I've had raw seaweed before, and I seriously doubt this is raw.  It is crunchy which probably means it's been processed at high heat, which is also common for many products that claim to be raw.  Truly raw seaweed has a crispness to it but is still fairly chewy and more difficult to break apart. I read the label and it says nothing about what temperature it is processed  (other companies who manufacture raw items typically provide this information).  I knew I bought it at my own risk, and am disappointed since I like this company."
230807,230808,B001G0MG46,A2SM0RC2BDLFU4,Tanvi,0,0,4,1970-01-01 00:00:01.351209600,Delicious!,"This was a gift for my brother, and he finished it within 10 days of its receipt. Need I say more!"
136207,136208,B001PQOB4O,ARF9K2APJHAH3,"L. Abernathy ""RN""",0,0,5,1970-01-01 00:00:01.351209600,Best cornbread mix ever!!!!,Great corn bread mix.Perfect for thanksgiving.It is a seasonal product so stock up.Expiration date is up to 2 years .Way cheaper at Costco though.
359882,359883,B002ULC2V2,A4VW6XVS48EMF,Horacio,0,0,5,1970-01-01 00:00:01.351209600,Seeds!,"I love sunflower seeds and I have found that Planters has the best tasting, fresh and delicious ones out there!  they are hard to find so i am glad I found them on Amazon, I recommend to all to give these a try!!!"
440827,440828,B008LFAS08,A3TB0KS3CCQ1K0,Dianne Ritchie,0,0,5,1970-01-01 00:00:01.351209600,Best grinder I have had bar none!!!!,"This is the 3rd meat grinder I have purchased, and the best by far.  We make our own raw diet for our cats, so a grinder gets<br />a real workout from us.  We grind at least 40# of meat at a time when we use it.  With the other two grinders we had to reverse the grinder several times because meat got hung up.  Also, we would have to let it ""cool down"".  With this one we have NEVER had to reverse it, and the motor stays cool.  We do shut it down several times so we can crack the chicken leg bones with a mallet (we were told to do that by the manufacturer) and we do a bunch of legs at a time.  I would recommend this grinder to anyone wanting a GOOD grinder that<br />doesn't hang up and have to be reversed or cooled down often.  This grinder is a real worker, and I would compare this with a grinder costing 3-4 times as much money."
322896,322897,B006N3I3Q6,AO4IX8RD1ZP8M,C. BINNING,0,0,5,1970-01-01 00:00:01.351209600,Very very good coffee,"<a href=""http://www.amazon.com/gp/product/B006N3I3Q6"">Green Mountain Coffee Fair Trade Organic Sumatran Reserve, K-Cup Portion Pack for Keurig Brewers</a> This is a real treat for a coffee snob! Not only is this a great coffee overall, but even compared to other Sumatran coffees and Sumatran blends this one can hold it's own against most other roasters. I enjoy it better than both the Sumatran offerings from Starbucks. I would say it is right on par with the caribou Sumatran product. only ones that I have enjoyed even a little more were products from  Cats Ass Coffee harvested from animal droppings (Kopi luwak)at over $150 a pound 0.o and the Sumatran offered by S&D... But the S&D product is hard to find or discontinued/seasonal. I would tell friends and Coffee people all over to try this! (And yes, I grew up in Portland and Seattle so I just may know better than you)  :P  LoL<br /><br />Enjoy!"
419177,419178,B003YZ3MN0,A10J6HSUU9ZAGJ,kmwhite,0,0,5,1970-01-01 00:00:01.351209600,Best beans your money can buy,"These are, hands down, the best jelly beans on the market.  There isn't a gross one in the bunch and each of them has an intense, delicious flavor.  Though I hesitate to pick a favorite, I have to say that I love green apple, a rare flavor in drugstore jelly beans.  Each flavor tastes like the fruit it is modeled after, not like the tart candy version of that fruit.  I even love the cherry flavor, and I hate cherry flavored candy.  I don't find them similar to Starburst candy, so don't let that put you off if you're not a fan.  Overall, they are delicious, perfectly-sized, crunchy yet smooth little morsels of fruit flavor."
176702,176703,B002RZ1Q3Q,A3UCQK5288MQ98,J. Cerar,0,0,5,1970-01-01 00:00:01.351209600,Excellent.,"I am a major fan of the Cornucopia kits and this kit was the third kit of theirs I bought.  The wine was great, but as one reviewer pointed out, the labels are misspelled.  That's just a minor issue and was good for a few laughs."
419317,419318,B0002DGRQ6,A3SSEJ8IEM4YGW,Seagaul,0,0,5,1970-01-01 00:00:01.351209600,Dogs love it.,"This is the ""all gone"" treat after dinner.  It's the only treat that the dogs work for; and I did run the chance of losing a hand.  They know a new command now:  ""be gentle"" when taking liver treats."
115166,115167,B0001HAEKI,A289SYWE4BHCF,akilah,0,0,5,1970-01-01 00:00:01.351209600,Good stuff,"Very good product, helps with a lot of ailments. It's great help stocking up on vitimain that you are deficient in."
230572,230573,B007PA32OE,A3UOYYQS5Z47MS,"David A. Levin ""DaveL""",0,0,5,1970-01-01 00:00:01.351209600,Morning Coffee,Great coffee at a good price. I'm a subscription buyer and I buy this month after month. What more can I say?
492288,492289,B003SBTUCW,A3MH1RD8BXQKK3,"P Mabe ""P Mabe""",1,1,1,1970-01-01 00:00:01.351209600,No Thanks!,I LOVE the Blue Sky Wild Raspberry but I cannot stand the Black Cherry.  It doesn't have much flavor and it has an awful aftertaste.  UGH!
136995,136996,B002AQP5FW,AEWJD0G85FPSG,Cathy,0,0,5,1970-01-01 00:00:01.351209600,Betty Crocker yellow cake mix,The Betty Crocker Gluten Free yellow cake mixes are delicious and easy. When buying these particular mixes here in bulk of 6 boxes they came out to be so much cheaper than buying them in my stores in my area. So delicious sweet treat and cheaper price is a steal!!! The Chocolate cake mix and brownie mix are definately NOT cheaper to puchase this way here for some reason.
397753,397754,B001EYUE5M,A29BJSTYH9W3JI,Harry,0,0,5,1970-01-01 00:00:01.351209600,super coffee,Great coffee and so easy to brew.  This coffee has great aroma and is good to the last drop.  I actually like all the brands.  This is the way coffee should taste!!
